schema_name,table_name,qualified_name,column_name,data_type,nullable,primary_key,foreign_key,description,business_meaning,validation_rules,example_value,lineage_source,lifecycle_stage
aml,alerts,aml.alerts,evidence_ids,TEXT[],False,False,,Supporting transaction or entity identifiers for an alert.,Links an alert to supporting transactions or entities.,,"{TXN_001,TXN_002}",,"AML alert, case, and investigation workflow data"
aml,alerts,aml.alerts,detection_window_start,TIMESTAMPTZ,True,False,,Detection window start column for this project table.,Captures detection window start for aml.alerts.,,2025-01-01T00:00:00Z,,"AML alert, case, and investigation workflow data"
aml,alerts,aml.alerts,detection_window_end,TIMESTAMPTZ,True,False,,Detection window end column for this project table.,Captures detection window end for aml.alerts.,,2025-01-02T00:00:00Z,,"AML alert, case, and investigation workflow data"
aml,alerts,aml.alerts,model_run_id,TEXT,True,False,,Model run id column for this project table.,"Model lineage identifier shared across runs, alerts, and reports.",,MODEL_RUN_001,,"AML alert, case, and investigation workflow data"
aml,alerts,aml.alerts,alert_status,TEXT,False,False,,Alert status column for this project table.,Captures alert status for aml.alerts.,,New,,"AML alert, case, and investigation workflow data"
aml,alerts,aml.alerts,created_at,TIMESTAMPTZ,False,False,,Created at column for this project table.,Captures created at for aml.alerts.,,2025-01-01T12:00:00Z,,"AML alert, case, and investigation workflow data"
aml,alerts,aml.alerts,updated_at,TIMESTAMPTZ,False,False,,Updated at column for this project table.,Captures updated at for aml.alerts.,,2025-01-01T12:00:00Z,,"AML alert, case, and investigation workflow data"
aml,cases,aml.cases,case_id,TEXT,False,True,,Case id column for this project table.,Captures case id for aml.cases.,,CASE_001,,"AML alert, case, and investigation workflow data"
aml,cases,aml.cases,primary_account_id,TEXT,True,False,staging.accounts(account_id),Primary account id column for this project table.,Captures primary account id for aml.cases.,,ACC_001,,"AML alert, case, and investigation workflow data"
aml,cases,aml.cases,primary_customer_id,TEXT,True,False,staging.customers(customer_id),Primary customer id column for this project table.,Captures primary customer id for aml.cases.,,CUST_001,,"AML alert, case, and investigation workflow data"
aml,cases,aml.cases,typologies,TEXT[],False,False,,Typologies column for this project table.,Captures typologies for aml.cases.,,"{structuring,fan_in}",,"AML alert, case, and investigation workflow data"
aml,cases,aml.cases,total_transaction_value,"NUMERIC(18, 2)",False,False,,Total transaction value column for this project table.,Captures total transaction value for aml.cases.,,12500.00,,"AML alert, case, and investigation workflow data"
aml,cases,aml.cases,rule_typology_score,"NUMERIC(5, 2)",False,False,,Rule typology score column for this project table.,Captures rule typology score for aml.cases.,,80.00,,"AML alert, case, and investigation workflow data"
aml,cases,aml.cases,graph_risk_score,"NUMERIC(5, 2)",False,False,,Graph risk score column for this project table.,Captures graph risk score for aml.cases.,,70.00,,"AML alert, case, and investigation workflow data"
aml,cases,aml.cases,anomaly_score,"NUMERIC(5, 2)",False,False,,Anomaly score column for this project table.,Captures anomaly score for aml.cases.,,65.00,,"AML alert, case, and investigation workflow data"
aml,cases,aml.cases,customer_risk_score,"NUMERIC(5, 2)",False,False,,Customer risk score column for this project table.,Captures customer risk score for aml.cases.,,55.00,,"AML alert, case, and investigation workflow data"
aml,cases,aml.cases,jurisdiction_risk_score,"NUMERIC(5, 2)",False,False,,Jurisdiction risk score column for this project table.,Captures jurisdiction risk score for aml.cases.,,40.00,,"AML alert, case, and investigation workflow data"
aml,cases,aml.cases,case_risk_score,"NUMERIC(5, 2)",False,False,,Final composite case risk score used for prioritisation.,Supports investigation prioritisation and queue ordering.,Must be between 0 and 100.,82.00,,"AML alert, case, and investigation workflow data"
aml,cases,aml.cases,severity,TEXT,False,False,,Severity column for this project table.,Captures severity for aml.cases.,"Must be low, medium, high, or critical.",high,,"AML alert, case, and investigation workflow data"
aml,cases,aml.cases,status,TEXT,False,False,,Workflow status for human review and disposition.,Tracks the human investigation lifecycle.,Must be a recognised case workflow status.,New,,"AML alert, case, and investigation workflow data"
aml,cases,aml.cases,explanation,TEXT,True,False,,Explanation column for this project table.,Captures explanation for aml.cases.,,Multiple typology signals on account.,,"AML alert, case, and investigation workflow data"
aml,cases,aml.cases,created_at,TIMESTAMPTZ,False,False,,Created at column for this project table.,Captures created at for aml.cases.,,2025-01-01T12:00:00Z,,"AML alert, case, and investigation workflow data"
aml,cases,aml.cases,updated_at,TIMESTAMPTZ,False,False,,Updated at column for this project table.,Captures updated at for aml.cases.,,2025-01-01T12:00:00Z,,"AML alert, case, and investigation workflow data"
aml,case_alerts,aml.case_alerts,case_id,TEXT,False,True,aml.cases(case_id),Case id column for this project table.,Captures case id for aml.case_alerts.,,CASE_001,,"AML alert, case, and investigation workflow data"
aml,case_alerts,aml.case_alerts,alert_id,TEXT,False,True,aml.alerts(alert_id),Alert id column for this project table.,Captures alert id for aml.case_alerts.,,ALERT_001,,"AML alert, case, and investigation workflow data"
aml,case_alerts,aml.case_alerts,created_at,TIMESTAMPTZ,False,False,,Created at column for this project table.,Captures created at for aml.case_alerts.,,2025-01-01T12:00:00Z,,"AML alert, case, and investigation workflow data"
aml,case_entities,aml.case_entities,case_entity_id,BIGSERIAL,False,True,,Case entity id column for this project table.,Captures case entity id for aml.case_entities.,,1,,"AML alert, case, and investigation workflow data"
aml,case_entities,aml.case_entities,case_id,TEXT,False,False,aml.cases(case_id),Case id column for this project table.,Captures case id for aml.case_entities.,,CASE_001,,"AML alert, case, and investigation workflow data"
aml,case_entities,aml.case_entities,entity_type,TEXT,False,False,,Entity type column for this project table.,Captures entity type for aml.case_entities.,,account,,"AML alert, case, and investigation workflow data"
aml,case_entities,aml.case_entities,entity_id,TEXT,False,False,,Entity id column for this project table.,Captures entity id for aml.case_entities.,,ACC_001,,"AML alert, case, and investigation workflow data"
aml,case_entities,aml.case_entities,relationship_type,TEXT,True,False,,Relationship type column for this project table.,Captures relationship type for aml.case_entities.,,primary_subject,,"AML alert, case, and investigation workflow data"
aml,case_entities,aml.case_entities,created_at,TIMESTAMPTZ,False,False,,Created at column for this project table.,Captures created at for aml.case_entities.,,2025-01-01T12:00:00Z,,"AML alert, case, and investigation workflow data"
governance,audit_events,governance.audit_events,audit_event_id,BIGSERIAL,False,True,,Audit event id column for this project table.,Unique audit record for traceability.,,1,,"Audit, model run, validation, and lineage artefacts"
governance,audit_events,governance.audit_events,event_timestamp,TIMESTAMPTZ,False,False,,Event timestamp column for this project table.,Captures event timestamp for governance.audit_events.,,2025-01-01T12:00:00Z,,"Audit, model run, validation, and lineage artefacts"
governance,audit_events,governance.audit_events,event_type,TEXT,False,False,,Event type column for this project table.,"Classifies runtime, validation, staging, rule, model, or analyst events.",,raw_ingestion,,"Audit, model run, validation, and lineage artefacts"
governance,audit_events,governance.audit_events,component,TEXT,False,False,,Component column for this project table.,Captures component for governance.audit_events.,,ingestion,,"Audit, model run, validation, and lineage artefacts"
governance,audit_events,governance.audit_events,run_id,TEXT,True,False,,Run id column for this project table.,Captures run id for governance.audit_events.,,RUN_001,,"Audit, model run, validation, and lineage artefacts"
governance,audit_events,governance.audit_events,pipeline_stage,TEXT,True,False,,Pipeline stage column for this project table.,Captures pipeline stage for governance.audit_events.,,raw_load,,"Audit, model run, validation, and lineage artefacts"
governance,audit_events,governance.audit_events,entity_type,TEXT,True,False,,Entity type column for this project table.,Captures entity type for governance.audit_events.,,dataset,,"Audit, model run, validation, and lineage artefacts"
governance,audit_events,governance.audit_events,entity_id,TEXT,True,False,,Entity id column for this project table.,Captures entity id for governance.audit_events.,,synthetic_scenario_seed_42_scenario_42,,"Audit, model run, validation, and lineage artefacts"
governance,audit_events,governance.audit_events,action,TEXT,False,False,,Action column for this project table.,Captures action for governance.audit_events.,,load_persisted_dataset_to_raw,,"Audit, model run, validation, and lineage artefacts"
governance,audit_events,governance.audit_events,status,TEXT,True,False,,Workflow status for human review and disposition.,Tracks the human investigation lifecycle.,,completed,,"Audit, model run, validation, and lineage artefacts"
governance,audit_events,governance.audit_events,details,JSONB,False,False,,Structured JSON details for audit and governance events.,"Carries structured audit details for ingestion, validation, staging, models, cases, and analyst actions.",,"{""row_counts"": {""transactions"": 100}}",,"Audit, model run, validation, and lineage artefacts"
governance,audit_events,governance.audit_events,created_by,TEXT,False,False,,Created by column for this project table.,Captures created by for governance.audit_events.,,system,,"Audit, model run, validation, and lineage artefacts"
governance,model_runs,governance.model_runs,model_run_id,TEXT,False,True,,Model run id column for this project table.,"Model lineage identifier shared across runs, alerts, and reports.",,MODEL_RUN_001,,"Audit, model run, validation, and lineage artefacts"
governance,model_runs,governance.model_runs,experiment_name,TEXT,False,False,,Experiment name column for this project table.,Captures experiment name for governance.model_runs.,,aml_risk_scoring,,"Audit, model run, validation, and lineage artefacts"
governance,model_runs,governance.model_runs,model_name,TEXT,False,False,,Model name column for this project table.,Captures model name for governance.model_runs.,,isolation_forest,,"Audit, model run, validation, and lineage artefacts"
governance,model_runs,governance.model_runs,model_version,TEXT,True,False,,Model version column for this project table.,Captures model version for governance.model_runs.,,v1,,"Audit, model run, validation, and lineage artefacts"
governance,model_runs,governance.model_runs,model_type,TEXT,False,False,,Model type column for this project table.,Captures model type for governance.model_runs.,,anomaly_detection,,"Audit, model run, validation, and lineage artefacts"
governance,model_runs,governance.model_runs,feature_version,TEXT,True,False,,Feature version column for this project table.,Captures feature version for governance.model_runs.,,features_v1,,"Audit, model run, validation, and lineage artefacts"
governance,model_runs,governance.model_runs,training_start,TIMESTAMPTZ,True,False,,Training start column for this project table.,Captures training start for governance.model_runs.,,2025-01-01T10:00:00Z,,"Audit, model run, validation, and lineage artefacts"
governance,model_runs,governance.model_runs,training_end,TIMESTAMPTZ,True,False,,Training end column for this project table.,Captures training end for governance.model_runs.,,2025-01-01T11:00:00Z,,"Audit, model run, validation, and lineage artefacts"
governance,model_runs,governance.model_runs,parameters,JSONB,False,False,,Model training or scoring parameters captured as JSONB.,Records model lineage and reproducible training configuration.,,"{""n_estimators"": 100}",,"Audit, model run, validation, and lineage artefacts"
governance,model_runs,governance.model_runs,metrics,JSONB,False,False,,Model performance and validation metrics captured as JSONB.,Stores model risk and validation metrics.,,"{""precision_at_k"": 0.8}",,"Audit, model run, validation, and lineage artefacts"
governance,model_runs,governance.model_runs,artefact_uri,TEXT,True,False,,Artefact uri column for this project table.,Location of the persisted model or model artefact.,,runs:/MODEL_RUN_001/model,,"Audit, model run, validation, and lineage artefacts"
governance,model_runs,governance.model_runs,created_at,TIMESTAMPTZ,False,False,,Created at column for this project table.,Captures created at for governance.model_runs.,,2025-01-01T12:00:00Z,,"Audit, model run, validation, and lineage artefacts"
governance,validation_reports,governance.validation_reports,validation_report_id,TEXT,False,True,,Validation report id column for this project table.,Unique validation report artefact identifier.,,VR_001,,"Audit, model run, validation, and lineage artefacts"
governance,validation_reports,governance.validation_reports,report_name,TEXT,False,False,,Report name column for this project table.,Captures report name for governance.validation_reports.,,model_validation_report,,"Audit, model run, validation, and lineage artefacts"
governance,validation_reports,governance.validation_reports,report_version,TEXT,False,False,,Report version column for this project table.,Captures report version for governance.validation_reports.,,v1,,"Audit, model run, validation, and lineage artefacts"
governance,validation_reports,governance.validation_reports,model_run_id,TEXT,True,False,governance.model_runs(model_run_id),Model run id column for this project table.,"Model lineage identifier shared across runs, alerts, and reports.",,MODEL_RUN_001,,"Audit, model run, validation, and lineage artefacts"
governance,validation_reports,governance.validation_reports,report_path,TEXT,False,False,,Path to the generated validation or governance report artefact.,Captures report path for governance.validation_reports.,,reports/model_validation/report.md,,"Audit, model run, validation, and lineage artefacts"
governance,validation_reports,governance.validation_reports,report_type,TEXT,False,False,,Report type column for this project table.,Captures report type for governance.validation_reports.,,model_validation,,"Audit, model run, validation, and lineage artefacts"
governance,validation_reports,governance.validation_reports,summary,JSONB,False,False,,Summary column for this project table.,Structured summary of validation findings and report outcomes.,,"{""passed"": true}",,"Audit, model run, validation, and lineage artefacts"
governance,validation_reports,governance.validation_reports,created_at,TIMESTAMPTZ,False,False,,Created at column for this project table.,Captures created at for governance.validation_reports.,,2025-01-01T12:00:00Z,,"Audit, model run, validation, and lineage artefacts"
